,a,[ei],art.一(个)；每一(个)；(同类事物中)任一个
,absurdity,[?b's?:diti;?b's?:d?ti],n.荒谬
,abundance,[?'b?nd?ns],n.充裕，多量
,abundant,[?'b?nd?nt],a.丰富的，盛产的
,abundantly,[?'b?nd?ntli],ad.丰富地
,abuse,[?'bju:z],v./n.辱骂;滥用
,abuse,[?'bju:z],vt.滥用；辱骂；诋毁 n.滥用；恶习；弊端
,abusive,[?'bju:siv],a.漫骂的；毁谤的；虐待的
,abut,[?'b?t],v.接界，毗连
,abysmal,[?'bizm?l],a.极深的；糟透的
,academic,"[,?k?'demik]",a.学院的，学术的；理论的
,academician,"[?,k?d?'mi??n]",n.院士；学会会员
,academy,[?'k?d?mi],n.(高等)专科院校；学术社团，协会，研究院
,acarpous,[ei'kɑ:p?s],a.不结果实的
,accede,[?k'si:d],v.同意
,accelerate,[?k'sel?reit],v.加速；促进
,accelerated,[?k'sel?reitid;?k'sel??reitid],"a.加速的,迅速的"
,accelerating,[?k's?l?reiti?],a.加速的
,acceleration,[?k?sel?'rei??n],n.加速度
,accent,"['?ks?nt, ?k'sent]","n.口音,腔调；重音(符号)vt.重读"
,accentuate,[?k'sentjueit],v.重读；强调
,accept,[?k'sept],vt.接受，领受；认可，同意 vi.同意，认可
,acceptance,[?k'sept?ns],n.接受，接收，验收，接纳；承认，认可
,access,['?kses],n.通路；途径
,access,['?kses],"vt.接近(进入,获得接触数据或程序的途径)"
,accessibility,[?k?sesi'biliti;?k?ses?'bil?ti],n.易接近;可达到
,accessible,[?k'ses?bl],a.易达到的；易受影响的
,accessory,[?k'ses?ri],a.附属的，次要的
,accident,['?ksid?nt],"n.意外遭遇,事故；意外(因素)"
,accidental,"[,?ksi'dent?l]",a.偶然的；意外的；无意中的
,accidentally,[??ksi'dent?li;??ks?'dent?li],"ad.意外地,偶然地"
,acclaim,[?'kleim],v.欢呼，称赞
,acclimate,[?'klaimit],v.使服水土;使适应
,accolade,['?k?leid],n.推崇；赞扬
,accommodate,[?'k?m?deit],v.与?一致；提供食宿
,accommodating,[?'k?m?deiti?],a.乐于助人的
,accommodation,[??k?m?'dei?n;??k?m?'dei??n],"n.[常用复数]招待设备,膳宿供应,居住舱室;适应,调节;贷款"
,accommodation  ,"[?,k?m?'dei??n]",n.(accommodations)住宿，留宿；膳宿供应
,accompaniment,[?'k?mp?nim?nt],n.伴奏
,accompany,[?'k?mp?ni],v.伴随，陪伴
,accomplice,[?'k?mplis],n.同谋者，帮凶
,accomplish,[?'k?mpli?],v.完成，做成功
,accomplish,"[?'k?mpli?, ?'k?m-]",v.实现(计划等)；达到(目的)；完成(任务)
,accomplished,[?'k?mpli?t],a.完成了的；有技巧的，有造诣的
,accomplishment,[?'k?mpli?m?nt],n.成就
,accord,[?'k?:d],v./n.同意；一致
,accordance,[?'k?:d?ns],n.一致，和谐，符合
,according to,[?'k?:di? tu]?,prep.据/照…(所说、所写)；按…，视…
,accordingly,[?'k?:di?li],ad.相应地，照着办，按照；于是，因此
,accordion,[?'k?:di?n],n.手风琴
,accost,[?'k?st],v.搭话
,account,[?'kaunt],a.叙述，说明；账目，账户 vi.说明，解释
,accountability,"[?,kaut?'biliti]",n.负有责任
,accountant,[?'kaunt?nt],n.会计人员，会计师
,accounting,[?'kaunti?],n.会计学
,accredit,[?'kredit],vt.授权
,accrete,[?'kri:t],v.逐渐增长；添加生长；连生
,accretion,[?'kri:??n],n.自然的增加；增加物
,accrue,[?'kru:],v.(利息等)增大；增多
,accumulate,[?'kju:mjuleit],v.积聚，积累(collect)
,accuracy,['?kjur?si],n.精确，准确
,accurate,['?kjurit],a.精确的，准确的
,accusation,[??kju'zei??n;??kj?'zei??n],n.谴责;控告
,accuse,[?'kju:z],v.谴责，指责
,accustomed,[?'k?st?md],a.惯常的；习惯的，适应的(一般作表语)
,acerbic,[?'s?:bik],a.苦涩的；刻薄的
,acerbity,[?'s?:biti],n.涩，酸，刻薄
,ache,[eik],vi.痛；哀怜 n.(指连续)疼痛、酸痛
,achieve,[?'t?i:v],vt.实现，完成；达到，得到vi.达到预期目的
,achievement,[?'t?i:vm?nt],"n.成就,功绩"
,achromatic,"[,?kr?u'm?tik]",a.非彩色的，无色的
,achromatopsia,[?kr?um?'t?psi?],n.色盲
,acid,['?sid],"n.酸,酸性物质a.酸的,酸味的；尖刻的"
,acidic,[?'sidik],"a.酸的,酸性的"
,acidity,[?'siditi;?'sid?ti],"n.酸度,酸性"
,acidosis,[??si'd?usis],n.酸中毒
,acidulous,[?'sidjul?s;?'sid??l?s],"a.稍有酸味的;刻薄的(脾气坏的,性情乖僻的)"
,acknowledge,[?k'n?lid?],v.承认；致谢
,acknowledgement,[?k'n?lid?m?nt],"n.承认,感谢;收到的通知"
,acme,['?kmi],n.顶点，极点
,acne,['?kni],n.粉刺
,acolyte,['?k?lait],n.(教士的)助手，侍僧
,acorn,['eik?:n],n.橡子，橡果
,acoustic,[?'ku:stik],a.听觉的，有关声音的
,acquaint,[?'kweint],v.使?熟知；通知
,acquaintance,[?'kweint?ns],n.熟知；熟人
,acquainted,[?'kweintid],a.对某事物熟悉的；对某人认识的
,acquiesce,"[,?kwi'es]",v.勉强同意，默许
,acquire,[?'kwai?],v.获得；学到(知识等)；养成(习惯)
,acquired,[?'kwai?d],a.后天习得的
,acquisition,"[,?kwi'zi??n]",n.取得，学到，养成(习惯)；获得的东西
,acquisitive,[?'kwizitiv],a.渴望得到的，贪婪的
,acquit,[?'kwit],v.宣告无罪；脱卸义务和责任；还清(债务)
,acquittal,[?'kwit(?)l],n.宣告无罪，开释
,acre,['eik?],n.英亩；田地；地产
,acreage,['eik?rid?],n.英亩数;土地的面积
,acrid,['?krid],a.辛辣的，刻薄的
,acrimonious,[?kri'm?unj?s],a.尖刻的，严厉的
,acrimony,['?krim?ni],n.尖刻，刻薄
,acrobat,['?kr?b?t],n.特技演员，杂技演员
,acronym,['?kr?nim],n.首字母缩略词
,acrophobia,"[,?kr?u'f?ubj?]",n.恐高症
,across,"[?'kr?s, ?'kr?:s]",prep.横过，越过；在的对面 ad.横过，穿过
,acrylic,[?'krilik;?'krilik],a.[化]丙烯酸;丙烯酸衍生物的
,act,[?kt],v.表演；举动；起作用 n.行为，法令；一幕
,action,['?k??n],n.行动，动作；作用；运转；行为；战斗
,activate,['?ktiveit],vt.启动，激活；驱动，驱使；使开始起作用
,active,['?ktiv],adj.活跃的，敏捷的，积极的；在活动中的
,actively,['?ktivli],"ad.活跃地,积极地"
,activity,[?k'tiv?ti],n.活动；活力；能动性；
,actor,['?kt?],n.男演员；演员，行动者
,actress,['?ktris],n.女演员
,actual,['?kt?u?l],a.实际的；现实的，真实的，目前的
,actually,['?ktju?li;'?kt?u?li],"ad.实际上,事实上"
,actuarial,"[,?ktju'e?ri?l]",a.(保险)精算的，保险计算的
,actuate,['?ktjueit],v.驱使，激励
,acuity,[?'kjuiti],n.(尤指思想或感官)敏锐
,acumen,[?'kju:m?n],"n.敏锐，精明,聪明"
,acupuncture,['?kjup??kt??;'?kju?p??kt??],n.针刺;针灸
,acute,[?'kju:t],a.灵敏的；[病]急性的
,acute angle,,n.锐角
,adage,['?did?],n.格言，古训
,adamant,['?d?m?nt],a.强硬的；固执的
,adapt,[?'d?pt],v.使?适应；修改
,adaptable,[?'d?pt?bl],a.有适应能力的；可改编的
,adaptation,[??d?p'tei??n],"n.改编,改写;适应环境"
,adaptive,[?'d?ptiv],a.适合的;适应的
,add,[?d],vt.加；增加(进)；进一步说/写 vi.(to)增添
,addendum,[?'dend?m],n.补充，附录
,addict,[?'dikt],v./n.沉溺；上瘾(者)
,addictive,[?'diktiv],a.(使人)上瘾的
,addition,[?'di??n],n.增加，附加
,additional,[?'di??n?l],a.额外的，附加的，另外的
,additive,['?ditiv],n.添加剂
,addle,['?dl],v.使腐坏;使昏乱
,address,[?'dres],v.处理，对付，着手解决；致词
,adduce,[?'dju:s],v.给予(理由);举出(例证)
,adept,['?dept],a.老练的，精通的
,adequate,['?dikwit],a.足够的
,adhere,[?d'hi?],"v.粘着；依附,拥护"
,adherent,[?d'hi?r?nt],n.拥护者，信徒
,adhesive,[?d'hi:siv],a.带粘性的，胶粘的；n.胶合剂
,adipose,['?dip?us;'?d??p?us],"a.脂肪质的,脂肪多的;n.动物脂肪"
,adjacent,[?'d?eis?nt],a.接近的，毗连的
,adjacent angle,,n.邻角
,adjective,['?d?iktiv],n.形容词 a.形容词的，用作形容词的
,adjoin,[?'d??in],v.临近，靠近；贴近，毗连
,adjoining,[?'d??ini?],a.毗邻的
journ,adjourn,[?'d??:n],v.使延期，推迟；休会
,adjudicate,[?'d?u:dikeit],v.充当裁判;判决
,adjudication,[??d?u:di'kei??n],"n.判决,裁定;宣告"
,adjunct,['?d???kt],n.附加物，附件
,adjust,[?'d??st],v.整顿，整理；适应
,adjustment,[?'d??stm?nt],n.调整
,adjutant,['?d?ut?nt;'?d??t?nt],n.(军队的)副官(帮助指挥官处理行政事务的人事官员)
,adlib,[?d'lib],v.临时讲话，即兴表演
,administer,[?d'minist?],v.施行，实施；掌管，料理...的事务；给予
,administration,"[?d,mini'strei??n]",n.经营，管理；行政，行政机关，管理部门
,administrative,[?d'ministr?tiv],a.管理的;行政的
,administrator,[?d'ministreit?],n.管理者;行政官
,admiration,[??dm?'rei??n],"n.钦佩,赞美"
,admire,[?d'mai?],v.钦佩，赞赏
,admission,[?d'mi??n],n.许可；入会费；承认
,admit,[?d'mit],vt.承认，供认；准许…进入，准许...加入
,admittedly,[?d'mitidli],"ad.公认地;诚然,无可否认地"
,admonish,[?d'm?ni?],v.训诫；警告
,admonition,[??dm?'ni??n],"n.告诫,劝告;温和的责备"
,adobe,[?'d?ubi],n.泥砖，土坯
,adolescent,"[,?d?u'lesnt]",a.青春期的；n.青少年
,adopt,[?'d?pt],v.收养；采纳
,adoption,[?'d?p??n],n.采用;收养
,adore,[?'d?:],v.崇拜；热爱
,adorn,[?'d?:n],v.装饰
,adornment,[?'d?:nm?nt],n.装饰;装饰品
,adrenal,[?d'ri:n?l],"a.肾上腺的,肾上附近的."
,adroit,[?'dr?it],a.熟练的，灵巧的
,adulate,['?djuleit],v.谄媚，奉承
,adulatory,['?d?uleit?ri;'?d??l??t?uri],"a.馅媚的,奉承的"
,adult,"['?d?lt, ?'d?lt]",n.成年人 a.成年的，充分长成的，成熟的
,adulterate,[?'d?lt?reit],v.掺假
,adumbrate,"['?d?m,breit]",v.(对将来事件)预示
,advance,"[?d'vɑ:ns, ?d'v?ns]",n.前进，预付 vi.前进，进展 vt.促进，推进
,advanced,"[?d'vɑ:nst, -'v?nst]",a.超前的，先进的；高级的；开明的；前进的
,advancement,[?d'vɑ:nsm?nt],n.进展;提升
,advantage,[?d'vɑ:ntid?],n.优点，长处，有利条件；利益，好处
,advent,['?dv?nt],n.到来，来临
,adventitious,"[,?dven'ti??s]",a.偶然的
,adventure,"[?d'vent??, ?d-]",n.冒险，冒险活动，奇遇 vt.大胆进行
,adventurer,[?d'vent??r?],n.冒险家
,adventurous,[?d'vent??r?s],"a.喜欢冒险的,敢做敢为的"
,adverb,['?dv?:b],n.副词 a.副词的
,adversarial,[??dv?'s??ri?l;??dv?'seri?l],"a.敌人的,对手的"
,adverse,['?dv?:s],a.不利的，相反的；敌对
,adversely,[?d'v?:sli],ad.不利地;相反地
,adversity,[?d'v?:siti;?d'v?:s?ti],"n.不幸,灾难"
,advert,[?d'v?:t],v.注意，留意
,advertise,['?dv?taiz],v.做广告
,advice,[?d'vais],n.劝告，忠告，(医生等的)意见
,advisable,[?d'vaiz?bl],"a.适当的，可行的,明智的"
,advise,[?d'vaiz],vt.忠告，劝告，建议；通知，告知
,advisor,[?d'vaiz?],n.顾问
,advisory,[?d'vaiz?ri],"a.咨询的,劝告的"
,advocacy,['?dv?k?si],n.拥护，支持
,advocate,['?dv?kit],v.拥护，支持；n.支持者，拥护者
,aegis,['id?is],n.盾；保护，庇护
,aerate,['ei?reit],v.充气，让空气进入
,aerial,['e?ri?l],a.空中的，空气中的
,aerobe,['??r?ub;'ei?r?ub],n.需氧生物
,aerobic,[??'r?bik;ei?'r?ubik],a.需氧的
,aerodynamics,['??r?udai'n?miks],n.空气动力学
,aeronautics,"[,e?r?'n?:tiks]",n.航空学
,aeroplane,['ε?r?plein],n.(airplane)(英)飞机
,aerosol,['??r?s?l],"n.烟雾;[化]气溶,烟雾剂"
,aesthete,['i:sθi:t],n.审美家
,aesthetic,[i:s'θetik],a.美学的，有审美感的
,afebrile,[ei'fi:br?l],a.无热的
,affable,['?f?bl],a.易于交谈的；和蔼的
,affair,[?'fε?],n.[pl.]事务；事情(件)；(个人的)事
,affect,"[?'fekt, '?fekt]",vt.影响；(疾病)侵袭；感动 n.情感，感情
,affectation,"[,?fek'tei??n]",n.做作，虚假
,affected,[?'fektid],a.不自然的；假装的
,affection,[?'fek??n],n.爱
,affectionate,[?'fek??nit],"a.亲爱的,挚爱的"
,affective,[?'fektiv],"a.感情的,表达感情的"
,affidavit,"[,?fi'deivit]",n.宣誓书
,affiliate,[?'filieit],v.加入；联合
,affiliation,"[?,fili'ei??n]",n.联系，联合
,affinity,[?'finiti],n.密切关系；(两性)吸引力
,affirm,[?'f?:m],v.确认；肯定
,affix,[?'fiks],v.粘上，贴上；在合同上添写某事物；n.词缀
flict,afflict,[?'flikt],v.使痛苦，折磨
,affliction,[?'flik??n],n.悲痛，受难的起因
,affluence,['?flu?ns],n.充裕，富足
,affluent,['?flu?nt],a.富裕的，丰富的
,afford,[?'f?:d],vt.担负得起(损失、费用、后果等)，买得起
,affordable,[?'f?:d?bl],a.能够支付的
,affront,[?'fr?nt],v.侮辱，冒犯
,afoul,[?'faul],ad.纠缠着(run afoul of与...纠缠)
,afraid  ,[?'freid],adj.害怕的，恐惧的；犯愁的，不乐意的
,after  ,"['ɑ:ft?, '?f-]",prep.在...以后；在...后面 adv.以后，后来
,aftermath,['ɑ:ft?m?θ],n.事件的后果，余波
,afternoon,"[,ɑ:ft?:'nu:n]",n.下午，午后
,afterward,"['ɑ:ft?w?d, '?f-]",ad.(afterwards)以后，后来
,again,"[?'ɡen, -'ɡein]",ad.再次，另一次；重新；除此，再，更，还
,against,"[?'ɡenst, ?'ɡeinst]",prep.对着，逆；反对；违反；紧靠着；对比
,agape,[?'ɡeip],a./adv.(嘴)大张着的/地
,age   ,[eid?],n.年龄；时代；老年；长时间 v.(使)变老
,agency,['eid??nsi],n.代理(处)；代办处；[美](政府的)机关，厅
,agenda,[?'d?end?],n.议程
,agent,['eid??nt],n.代理人；代理商；产生作用的人或事物
,agglomerate,[?'ɡl?m?reit],v.凝聚，结块
,agglutination,[??glu:tin'ei??n;??glu:t?n'ei??n],n.胶合;凝集;粘结
,aggrandize,[?'ɡr?ndaiz],v.增大，扩张；吹棒
,aggravate,['?ɡr?veit],v.加重，恶化
,aggravating,['?gr?veiti?;'?gr??veiti?],"a.恼人的,讨厌的"
,aggregate,['?ɡriɡeit],v.集合；合计
,aggregation,[??gri'gei??n],"n.集合,群体"
,aggression,[?'ɡre??n],n.侵略；敌对的情绪或行为
,aggressive,[?'ɡresiv],a.好斗的；进取的
,aggressiveness,[?'gresivnis],n.侵略;争斗
,aggressor,[?'ɡres?(r)],n.侵略者，攻击者
,aggrieve,[?'ɡri:v],v.使受委屈；使痛苦
,aghast,[?'ɡɑ:st],a.惊骇的，吓呆的
,agile,['?d?ail],a.敏捷的，灵活的
,agility,[?'d?iliti],n.敏捷
,agitate,['?d?iteit],v.搅动，煽动；使不安，使焦虑
,agitated,['?d?iteitid],a.被鼓动的；不安的
,agitation,[??d?i'tei??n;??d??'tei??n],"n.搅动,煽动;不安,焦虑"
,agnostic,[?ɡ'n?stik],a.不可知论的
,ago,[?'ɡ?u],ad.(常和一般过去时的动词连用)以前，…前
,agog,[?'ɡ?ɡ],a.兴奋的，有强烈兴趣的
,agony,['?ɡ?ni],n.极大痛苦
,agrarian,[?'ɡre?ri?n],a.土地的
,agree,[?'ɡri:],vi.答应，赞同；适合，一致；商定，约定
,agreeable,[?'ɡri?bl],a.令人喜悦的；欣然同意的
,agreement,[?'ɡri:m?nt],n.协定；协议；契约；达成协议；同意，一致
,agriculture,['?ɡrik?lt??],n.农业，农艺，农耕
,agronomy,[?ɡ'r?n?mi],n.农学，农艺学
,ague,['eigju:],n.疟疾;寒颤
,ahead,[?'hed],     ad.在前面(头)；向(朝)前；提前
,aid,[eid],n.援助，救护；助手，辅助物 vi.援助，救援
,ail,[eil],v.生病
,ailment,['eilm?nt],n.(不严重的)疾病
,aim,[eim],n.目的；瞄准 vi.(at)目的在于 vt.把…瞄准
,air,[ε?],n.空气；(复数)神气 vt.(使)通风；晾干
,air conditioner,[k?n'di??n?],n.空调
,air-conditioning,,n.空调设备，空调系统
,air-cushion vehicle,['ku??n-'vi:ikl],n.气垫船
,airborne,['e?b?:n],a.空气传播的；空运的
,aircraft,['ε?krɑ:ft],n.飞机，飞船，飞行器
,airline,['ε?lain],n.(飞机)航线  a.(飞机)航线的
,airport,['ε?p?:t],n.机场，航空站，航空港
,airsickness,['e??sik?is],n.晕机
,airtight,['e?tait],a.密闭的，不透气的
,Aisle,[ail],n.(教堂、教室、戏院等里的)过道，通道
,ajar,[?'d?ɑ:],a.(门窗等)微开的:leave the door ajar 让门半开着
,akin,[?'kin],a.同族的;类似的
,alabaster,['?l?bɑ:st?],a.雪白的
,alacrity,[?'l?kriti],n.乐意，欣然；敏捷，活泼
,alarm  ,[?'lɑ:m],n.惊恐；警报(器) vt.惊动，惊吓；向…报警
,albeit,[?:l'bi:it],conj.虽然，尽管
,albino,[?l'bi:n?u],n.白化病者，白化变种
,album,['?lb?m],"n.(同一表演者的)集锦密纹唱片;集邮册,相册"
,alchemy,['?lkimi],n.炼金术
,alcohol,['?lk?h?l],n.酒精，乙醇；含酒精的饮料
,alcove,['?lk?uv],n.凹室
,alder,['?:ld?],"n.桤木(桦木科,通常生长於沼泽地带)"
,ale,[eil],n.(淡色)啤酒
,alert,[?'l?:t],a.警惕的，机警的;n.警报
,alfalfa,[?l'f?lf?],"n.茴蓿,紫苜蓿"
,alga,['?lg?],"n.水藻,海藻"
,algae,['?ld?i:],"n.(alga的复数)水藻,海藻"
,algebra,['?ld?ibr?;'?ld??br?],n.代数
,alias,['eili?s],n.化名，别名
,alibi,['?libai],n.某人当时不在犯罪现场的申辩或证明
,alien,['eilj?n],n.外侨，外国人；外星人 a.外国的；相异的
,alienate,['eilj?neit],v.疏远，离间某人
,align,[?'lain],v.将某物排列在一条直线上；与某人结盟
,alignment,[?'lainm?nt],"n.排列;联合,联盟"
,alike,[?'laik],a.同样的，相像的ad.一样地；同程度地　
,alimentary,"[,?li'ment?ri]",a.饮食的，营养的
,alimony,['?lim?ni],n.离婚赡养费(离婚或分居后在诉讼期间男方给女方的生活费)
,alive,[?'laiv],a.活着的；存在的；活跃的；(to)敏感的
,alkali,['?lk?lai],n.碱
,alkaline,['?lk?lain;'?lk??lain],"a.碱的,含碱的,碱性的"
,all,[?:l],a.全部的；非常的 ad.完全地，很 pron.全部
,allay,[?'lei],v.减轻，缓和
,allegation,[??li'gei??n;??l?'gei??n],"n.指责，宣称,主张,断言"
,allege,[?'led?],v.(无证据)陈述，宣称
,allegiance,[?'li:d??ns],n.忠诚，拥护
,allegory,"['?liɡ?ri,",'?liɡ?:ri]n.寓言
,allergic,[?'l?:d?ik],a.过敏的；对?讨厌的
,allergy,['?l?d?i],n.过敏症；厌恶
,alleviate,[?'li:vieit],v.缓和，减轻
,alley,['?li],"n.小巷,小径(在建筑群之间或在花园中两旁有花圃或树的小径);(保龄球等的)球道"
,alliance,[?'lai?ns],n.同盟，同盟国；结盟，联姻
,alligator,['?li?geit?;'?l??geit?],n.短吻鳄
,alliterate,[?'lit?reit],v.押头韵
,alliteration,[??lit?'rei??n],"n.(诗歌的)头韵(在一群字或诗中,第一个字母或发音的重复)"
,allocate,['?l?ukeit],v.配给，分配
,allopathy,[?'l?p?θi],n.(医)对抗疗法(产生的效果同疾病产生的效应不同)
,Allow,[?'lau],vt.允许，准许；承认；给予；(for)考虑到
,allowance,[?'lau?ns],n.津贴，补助；承认，允许
,alloy,"['?l?i, ?'l?i]",n.合金vt.将…铸成合金
,allude,[?'lju:d],v.间接提到，暗指
,allure,[?'lju?;?'liu?],"v.引诱,吸引"
,alluring,[?'lju?ri?],a.吸引人的，迷人的
lusion,allusion,[?'l(j)u:??n],n.暗示，间接提示
,ally,"['?lai, ?'lai]",n.同盟者，同盟国，vt.使结盟；与…有关联
,almighty,[?:l'maiti],a.全能的;很大的;很强的
,almond,['ɑ:m?nd],n.杏树，杏仁
,almost,['?:lm?ust],adv.几乎，差不多
,alms,[ɑ:mz],n.施舍物，救济品
,almshouse,['a:mz?haus],"n.贫民所,救济院"
,aloft,[?'l?ft],adv.在空中，在头顶上
,alone,[?'l?un],a.单独的，孤独的 ad.单独地，独自地；仅仅
,along  ,[?'l??],ad.向前；和...一起，一同 prep.沿着，顺着
,alongside,[?'l??'said],ad.在旁边 prep.和...在一起；在...旁边
,aloof,[?'lu:f],a.冷淡的，疏远的
,aloud,[?'laud],adv.出声地，大声地
,alphabet,['?lf?bit],n.字母表；初步，入门
,alphabetical,"[,?lf?'betik?l]",a.按字母表顺序的
,already,[?:l'redi],ad.已，已经，早已
,also,['?:ls?u],ad.而且(也)，此外(还)；同样地
,alter,['?:lt?],v.改变，更改
,alteration,[??:lt?'rei??n],"n.改变,更改"
,altercation,[??:lt?:'kei??n;??:lt?'kei??n],"n.争吵,争论"
,alternate,"[?:l't?:nit,","'?lt?:,neit]a.轮流的，交替的；v.轮流，交替n.候选人，替代性选择"
,alternately,['?:lt?:nitli;'?:lt?nitli],"ad.交替地,轮流地"
,alternation,[??:lt?:'nei??n;??:lt?'nei??n],"n.交替,轮流"
,alternative,[?:l't?:n?tiv],n.二选一；供选择的东西；取舍 a.二选一的
,although,[?:l'??u],conj.尽管，虽然...但是
,altitude,['?ltitju:d],n.高度，海拔；[pl.]高处，高地
,alto,['?lt?u],n.[音]男最高音(歌手)
,altogether,"[,?:lt?'ɡe??]",ad.完全，总之，全部地；总共；总而言之
,altruism,['?ltruiz?m],n.利他主义；无私
,altruistic,"[,?ltru'istik]",a.无私的，为他人着想的
,aluminium,"[,?lju:'minj?m]",n.铝
,aluminum,[?'lju:min?m],n.(aluminium)铝
,alumni,[?'l?mnai],a.(alumnus的复数)校友
,alveolus,[?l'vi:?l?s],"n.小窝,牙槽;肺泡"
,always,"['?:lweiz, -wiz]",ad.总是，无例外地；永远，始终
,amalgam,[?'m?lɡ?m],n.混合物
,amalgamate,[?'m?lɡ?meit],v.合并；混合
,amass,[?'m?s],v.积聚
,amateur,['?m?t?(:)],n.业余爱好者
,amateurish,"[,?m?'t?:ri?]",a.业余爱好的，不熟练的
,amaze,[?'meiz],vt.使惊奇，使惊愕；使困惑 vi.表现出惊奇
,amazement,[?'meizm?nt],"n.惊愕,惊异"
,amazing,[?'meizi?],a.令人惊异的
,amazon,['?m?z?n],"n.亚马逊河,亚马逊(女战士)"
,ambassador,[?m'b?s?d?],n.大使；特使，(派驻国际组织的)代表
,amber,['?mb?],n.琥珀(色)
,ambidextrous,['?mbi'dekstr?s],a.十分灵巧的
,ambience,['?mbi?ns],n.环境，气氛
